Month,Relation,Sentiment,EXCHUS,US_tariff_rate,China_tariff_rate,US_exports_millions,China_exports_millions,Log_EXCHUS_Change,Log_Sentiment_Change,Sentiment_Change,Log_EXCHUS_Change_Lag,US_log_tariff_rate_change_lag,China_log_tariff_rate_change_lag,US_log_exports_change_lag,China_log_exports_change_lag,
2021-01,USA-China,0.023501,6.4672,19.3,21.1,"13,011.20","38,835.30",,,,-0.001098451,0,0,-0.339555872024611,-0.138371906407196,
2021-02,USA-China,0.020157,6.4601,19.3,21.1,"9,265.10","33,816.80",-0.001098451,-0.153491351,-0.003344,0.007832898,0,0,0.324127578759688,0.166270370939785,
2021-03,USA-China,0.010724,6.5109,19.3,21.1,"12,812.00","39,934.00",0.007832898,-0.631067402,-0.009433,0.001181933,0,0,-0.071208651306780,-0.066330412924554,
2021-04,USA-China,0.014211,6.5186,19.3,21.1,"11,931.40","37,371.10",0.001181933,0.281532092,0.003487,-0.01335855,0,0,0.039119488365502,0.029409852011080,
2021-05,USA-China,0.009114,6.4321,19.3,21.1,"12,407.40","38,486.50",-0.01335855,-0.44420462,-0.005097,-0.001104448,0,0,-0.021573138065444,0.033039146037467,
2021-06,USA-China,0.008897,6.425,19.3,21.1,"12,142.60","39,779.30",-0.001104448,-0.024097552,-0.000217,0.007952729,0,0,-0.032245606466686,0.012778960514211,
2021-07,USA-China,0.013088,6.4763,19.3,21.1,"11,757.30","40,290.90",0.007952729,0.385981639,0.004191,7.72016E-05,0,0,-0.044532953337864,0.062694905564811,
2021-08,USA-China,0.007536,6.4768,19.3,21.1,"11,245.20","42,897.80",7.72016E-05,-0.552004243,-0.005552,-0.003170163,0,0,-0.020265865510300,0.098765284275492,
2021-09,USA-China,0.01915,6.4563,19.3,21.1,"11,019.60","47,350.90",-0.003170163,0.932611178,0.011614,-0.006074513,0,0,0.412824797033334,0.010976288574064,
2021-10,USA-China,0.008093,6.4172,19.3,21.1,"16,651.50","47,873.50",-0.006074513,-0.861303225,-0.011057,-0.004419776,0,0,-0.047200580555771,0.007518636829898,
2021-11,USA-China,0.017231,6.3889,19.3,21.1,"15,883.80","48,234.80",-0.004419776,0.755710597,0.009138,-0.003072536,0,0,-0.176603790198563,0.023369546905020,
2021-12,USA-China,0.00387,6.3693,19.3,21.1,"13,312.40","49,375.30",-0.003072536,-1.49345558,-0.013361,-0.002153259,0,0,-0.154933464614574,-0.035208866692628,
2022-01,USA-China,0.014031,6.3556,19.3,21.1,"11,401.70","47,667.10",-0.002153259,1.28801466,0.010161,-0.001889883,0,0,0.018336859722115,-0.119503993029777,
2022-02,USA-China,0.029128,6.3436,19.3,21.1,"11,612.70","42,297.90",-0.001889883,0.730430743,0.015097,0.000157627,0,0,0.159351864301074,0.111462025524276,
2022-03,USA-China,0.013231,6.3446,19.3,21.1,"13,618.80","47,285.30",0.000157627,-0.78913735,-0.015897,0.01352599,0,0,-0.182929724772826,-0.125043874097333,
2022-04,USA-China,0.005192,6.431,19.3,21.1,"11,342.10","41,727.30",0.01352599,-0.935443582,-0.008039,0.040828214,0,0,0.081175352255089,0.047783921624854,
2022-05,USA-China,0.009806,6.699,19.3,21.1,"12,301.20","43,769.60",0.040828214,0.635875464,0.004614,-0.00056741,0,0,-0.060512342326758,0.102378894531219,
2022-06,USA-China,0.006018,6.6952,19.3,21.1,"11,578.90","48,488.10",-0.00056741,-0.488239465,-0.003788,0.005956653,0,0,0.069197245376740,-0.040469221039183,
2022-07,USA-China,0.009362,6.7352,19.3,21.1,"12,408.50","46,565.00",0.005956653,0.441903965,0.003344,0.009678043,0,0,0.034697463245848,0.078806615411915,
2022-08,USA-China,-4.92E-05,6.8007,19.3,21.1,"12,846.60","50,383.10",0.009678043,#NUM!,-0.0094112,0.031666442,0,0,-0.083700810470816,-0.022334335950292,
2022-09,USA-China,0.018079,7.0195,19.3,21.1,"11,815.10","49,270.30",0.031666442,#NUM!,0.0181282,0.024026997,0,0,0.283409345522047,-0.098005898327978,
2022-10,USA-China,0.002149,7.1902,19.3,21.1,"15,686.30","44,670.60",0.024026997,-2.129748426,-0.01593,-0.001252488,0,0,0.007070309818682,-0.190678632294546,
2022-11,USA-China,0.015871,7.1812,19.3,21.1,"15,797.60","36,915.70",-0.001252488,1.999490927,0.013722,-0.029607403,0,0,-0.151414558763541,0.008445720481530,
2022-12,USA-China,0.017582,6.9717,19.3,21.1,"13,577.90","37,228.80",-0.029607403,0.102382107,0.001711,-0.026349247,0,0,-0.045041463911401,0.024865031760141,
2023-01,USA-China,0.014627,6.7904,19.3,21.1,"12,979.90","38,166.10",-0.026349247,-0.184006516,-0.002955,0.006985441,0,0,-0.096812089083917,-0.221935093534842,
2023-02,USA-China,0.005438,6.838,19.3,21.1,"11,782.20","30,569.80",0.006985441,-0.98945779,-0.009189,0.007706409,0,0,0.163073425971286,0.007229331990406,
2023-03,USA-China,-0.00105,6.8909,19.3,21.1,"13,869.10","30,791.60",0.007706409,#NUM!,-0.006488,-0.000479007,0,0,-0.059642254132411,0.071426935029761,
