DATE,CNY_per_CAD,Month
2024-01-01,5.342099381658348,2024-01
2024-02-01,5.328518518518519,2024-02
2024-03-01,5.320257092198582,2024-03
2024-04-01,5.292818487640778,2024-04
2024-05-01,5.292090436818614,2024-05
2024-06-01,5.29346953666545,2024-06
2024-07-01,5.294516552428176,2024-07
2024-08-01,5.234346393262541,2024-08
2024-09-01,5.223682267828141,2024-09
2024-10-01,5.152358799156793,2024-10
2024-11-01,5.157303370786517,2024-11
2024-12-01,5.110339018740787,2024-12
2025-01-01,5.070331503231635,2025-01
2025-02-01,5.0866494160430795,2025-02
2025-03-01,5.04966564502647,2025-03
2025-04-01,5.219083041270296,2025-04
2025-05-01,5.204153746304175,2025-05
2025-06-01,5.253438688908399,2025-06
