Date,Title,Content
110725,Wang Yi Meets with Canadian Foreign Minister Anita Anand,"On July 11, 2025, Member of the Political Bureau of the CPC Central Committee and Foreign Minister Wang Yi met with Canadian Foreign Minister Anita Anand in Kuala Lumpur at the latter's request.

Wang Yi noted that this year marks the 55th anniversary of the establishment of diplomatic relations between China and Canada and the 20th anniversary of the establishment of their strategic partnership. It is an important opportunity to review the past and think about the future. Last month, Premier Li Qiang had a positive and constructive phone call with Prime Minister Mark Carney. Prime Minister Carney proposed to recalibrate China-Canada relations and carry out more exchanges and cooperation, to which the Chinese side expressed agreement.

Wang Yi emphasized that China-Canada relations have experienced ups and downs over the past few years. The merits of the issues involved are quite clear. There are no territorial disputes or geopolitical conflicts between China and Canada, and they can fully become partners that help each other succeed. The two sides should further deliver on the important common understandings reached by the two heads of government, view each other with a more objective and rational attitude, and strengthen cooperation with a more proactive and open spirit. China opposes overstretching the concept of national security to suppress Chinese companies groundlessly and hopes that Canada will provide a favorable business environment for the investment and operation of Chinese enterprises.

Wang Yi said that the abuse of tariffs by the United States undermines the international economic and trade order and drags down global economic growth. The United States has even imposed high tariffs on small and poor countries. In contrast, China upholds multilateralism and free trade, voluntarily offers zero-tariff treatment for 100 percent of products from the least developed countries, and promotes the common modernization of all countries by sharing development opportunities. In the face of a complex international situation, all countries should adhere to the basic norms governing international relations based on the United Nations Charter, uphold the principle of equality among nations regardless of size, refrain from interfering in internal affairs, and maintain peaceful coexistence among nations. Major countries, in particular, should take the lead and abandon the so-called logic of power politics that advocates ""peace through strength"".

Anita Anand said that Canada attaches importance to developing relations with China. The successful phone call between the two heads of government marks a positive step towards getting bilateral relations back on track and lays a foundation for expanding practical cooperation. The new Canadian government is committed to achieving diversification of the supply chain, enhancing the resilience of economic development, and benefiting the Canadian people. The Canadian side is ready to maintain contact and candid communication with the Chinese side, and accelerate the resumption of exchanges and cooperation in various fields such as economy, trade, health and culture with a pragmatic and constructive attitude."
190425,Vice Foreign Minister Ma Zhaoxu Hold Talks with Deputy Foreign Minister of Canada David Morrison,"On April 19, 2024, Vice Foreign Minister Ma Zhaoxu held talks with visiting Deputy Foreign Minister of Canada David Morrison. The two sides had an exchange of views on China-Canada relations and other issues of mutual interest and concern."
110125,Wang Yi Has a Phone Call with Canadian Foreign Minister Mélanie Joly,"On January 11, 2024, Member of the Political Bureau of the CPC Central Committee and Foreign Minister Wang Yi had a phone call with Canadian Foreign Minister Mélanie Joly at the latter's request.

Wang Yi said that both China and Canada are countries with important influence in the Asia-Pacific region. The two countries have neither historical rows nor realistic conflicts of interest, and share many common interests and enjoy complementary advantages. The current challenging China-Canada relationship is not what China desires, nor is caused by China, while China is open to maintaining contact and dialogue with Canada.

Wang Yi put forward three points on improving and developing China-Canada relations:

First, correct cognition. The root cause of the downturn of China-Canada relations in recent years is the serious deviation of the Canadian side's perception of China. China hopes that the Canadian side can objectively, rationally and correctly interpret China's domestic and foreign policies. China neither exports ideology nor challenges the international order, but has consistently upheld the purposes and principles of the UN Charter, the international system with the UN at its core and the international order based on international law. At the same time, China must firmly safeguard its own sovereignty, security and development interests and never allow the Chinese people to be deprived of their legitimate rights to development.

Second, mutual respect. The differences in social systems and ideologies between China and Canada stem from their respective histories, cultures, national conditions and people's choices. The two sides should respect each other, engage in dialogue on an equal footing, increase trust, dispel misgivings and strengthen communication responsibly and constructively, so as not to let differences dominate bilateral relations. The Canadian side should earnestly implement its commitment to the one-China policy, preserve the political foundation of China-Canada relations, and not send any wrong signal to the ""Taiwan independence"" separatist forces.

Third, win-win cooperation. China will continue to expand high-standard opening-up, and Chinese modernization will surely bring important development opportunities to Canada and other countries in the world. As promoters and beneficiaries of free trade, China and Canada should jointly oppose the politicization and pan-security of economic issues and create a fair, just and non-discriminatory environment for business development.

Mélanie Joly said, sound and stable Canada-China relations serve the fundamental interests of the two countries and two peoples. Despite the difficulties in bilateral relations, Canada is willing to bring bilateral relations back to the right track with a more open, practical and constructive attitude, and is willing to strengthen communication and dialogue with China, promote personnel exchanges, deepen economic and trade cooperation, and maintain close coordination and cooperation on environmental protection, biodiversity and international and regional issues."
180224,Wang Yi Meets with Canadian Foreign Minister Mélanie Joly at the Latter's Request,"On February 17, 2024 local time, Member of the Political Bureau of the CPC Central Committee and Foreign Minister Wang Yi met with Canadian Foreign Minister Mélanie Joly at the latter's request on the sidelines of the Munich Security Conference.

Wang Yi said that China-Canada relations have long been at the forefront of China's relations with Western countries, and the current difficult situation is not what China wants to see. It is in the fundamental interests of both countries to promote the stabilization of China-Canada relations from further deterioration and achieve the improvement and development of bilateral relations. The economies of China and Canada are highly complementary and there is no conflict of fundamental interests between the two sides. The two sides are not rivals, let alone enemies, and should be partners of cooperation. As China and Canada differ in system, history and culture, the two sides should respect and learn from each other to expand consensus and rebuild trust to achieve win-win cooperation.

Wang Yi clarified China's position on bringing China-Canada relations back to a sound and stable track, expressing the hope that Canada could establish a correct understanding of China, take a long-term view of bilateral relations, and provide positive anticipation for practical cooperation; stop hyping up the ""China threat"" theory, stop spreading false information about the so-called ""Chinese interference in Canada's internal affairs"", and stop overstretching the concept of national security regarding exchanges in economy and trade as well as science and technology. The two sides should earnestly respect each other's core interests, and take concrete actions to safeguard the political foundation of bilateral relations.

Joly extended to the Chinese side her greetings for the Chinese New Year of the Dragon, noting that Canada pursues pragmatic diplomacy and is committed to improving its relations with China. Canada is ready to make joint efforts with China to overcome difficulties, build trust, carry out cooperation in climate change, biodiversity, public health and other fields, and strengthen people-to-people and cultural exchanges. Canada will continue to pursue the one-China policy.

The two sides also had an exchange of views on Ukraine and the conflict in Gaza, among others."
150725,Tribunal Initiates Inquiry—Cast Iron Soil Pipe from China,"News release
Ottawa, Ontario, July 14, 2025—The Canadian International Trade Tribunal today initiated a preliminary injury inquiry into a complaint by Canada Pipe Company ULC, d/b/a Bibby‑Ste‑Croix, of Sainte-Croix, Quebec, that it has suffered injury as a result of the dumping and subsidizing of cast iron soil pipe from China. The Tribunal’s inquiry is conducted pursuant to the Special Import Measures Act (SIMA) as a result of the initiation of dumping and subsidizing investigations by the Canada Border Services Agency (CBSA).

On September 9, 2025, the Tribunal will determine whether there is a reasonable indication that the alleged dumping and subsidizing have caused injury or retardation, or are threatening to cause injury, as these words are defined in SIMA. If so, the CBSA will continue its investigations and, by September 24, 2025, will make preliminary determinations. If these preliminary determinations indicate that there has been dumping or subsidizing, the CBSA will then continue its investigations and, concurrently, the Tribunal will initiate a final injury inquiry.

The Tribunal is an independent quasi‑judicial body that reports to Parliament through the Minister of Finance. It hears cases on dumped and subsidized imports, safeguard complaints, complaints about federal government procurement and appeals of customs and excise tax rulings. When requested by the federal government, the Tribunal also provides advice on other economic, trade and tariff matters.

Any interested person, association or government that wishes to participate in the Tribunal’s inquiry may do so by filing a Form I—Notice of Participation."
120725,Statement for the 9th anniversary of the South China Sea Arbitral Tribunal ruling,"Statement
July 11, 2025 - Ottawa, Ontario - Global Affairs Canada

Today, Global Affairs Canada issued the following statement:

“Canada reaffirms its unwavering commitment to maintaining a free and open Indo-Pacific. In 2016, a Permanent Court of Arbitration released its decision on the South China Sea case between China and the Philippines.

“Canada reiterates that this July 12, 2016, decision is legally binding on the parties and provides a foundation for the peaceful resolution of competing maritime claims in the region, consistent with international law.

“China’s coercive and dangerous actions against Philippine and Vietnamese vessels -- including the use of water cannons, dangerous maneuvers, ramming, forcible towing, and the unlawful boarding of vessels -- endanger the safety of seafarers and seriously degrade regional peace and security. Canada continues to call on China to abide by the tribunal’s decision and cease all actions that escalate tensions and threaten maritime safety.

“As outlined in its Indo-Pacific Strategy, Canada is working with ASEAN member states, including the Philippines, to ensure full respect for international law, including the United Nations Convention on the Law of the Sea, in the South China Sea. 

“Canada also welcomes ongoing efforts by ASEAN member states to develop an effective and substantive code of conduct for the South China Sea. An agreement on a common way forward is essential to set conditions for effective, responsible, collaborative management of maritime resources, maintenance of maritime safety, and preservation of marine biodiversity.”"
110725,"Minister Anand meets with China’s Director of the Office of the Central Commission for Foreign Affairs and Minister of Foreign Affairs, Wang Yi","Readout
July 11, 2025 - Kuala Lumpur, Malaysia - Global Affairs Canada

The Honourable Anita Anand, Minister of Foreign Affairs, today met with Wang Yi,  China’s Director of the Office of the Central Commission for Foreign Affairs and Minister of Foreign Affairs at the Association of Southeast Nations Regional Forum in Kuala Lumpur, Malaysia.

Highlighting the importance of regular communication channels, the ministers reiterated support for the upcoming meeting of the Joint Economic and Trade Commission, the next round of consular consultations and forthcoming counternarcotics discussions.

The ministers exchanged views on a range of global issues, including the conflicts in Ukraine and the Middle East. The ministers also discussed challenges and opportunities in the bilateral relationship and agreed to remain in touch with each other."
110725,"Tribunal Issues Determination of Reasonable Indication of Threat of Injury—Steel Strapping from China, South Korea, Türkiye and Vietnam","News release
Ottawa, Ontario, July 10, 2025—The Canadian International Trade Tribunal today determined that there is a reasonable indication that the dumping of steel strapping from China, South Korea, Türkiye and Vietnam, and subsidizing of steel strapping from China are threatening to cause injury to the domestic industry.

The Tribunal’s inquiry was conducted pursuant to the Special Import Measures Act as a result of the initiation of dumping and subsidizing investigations by the Canada Border Services Agency (CBSA). The CBSA will continue its investigations and, by August 8, 2025, will issue preliminary determinations.

The Tribunal is an independent quasi-judicial body that reports to Parliament through the Minister of Finance. It hears cases on dumped and subsidized imports, safeguard complaints, complaints about federal government procurement and appeals of customs and excise tax rulings. When requested by the federal government, the Tribunal also provides advice on other economic, trade and tariff matters."
200625,Tribunal Issues Determination of Reasonable Indication of Injury—Certain Carbon or Alloy Steel Wire from Various Countries,"News release
Ottawa, Ontario, June 19, 2025—The Canadian International Trade Tribunal today determined that there is a reasonable indication that the dumping of certain carbon or alloy steel wire from China, Chinese Taipei, India, Italy, Malaysia, Portugal, Spain, Thailand, Türkiye and Vietnam has caused injury to the domestic industry.

The Tribunal’s inquiry was conducted pursuant to the Special Import Measures Act as a result of the initiation of a dumping investigation by the Canada Border Services Agency (CBSA). The CBSA will continue its investigation and, by July 21, 2025, will issue a preliminary determination.

The Tribunal is an independent quasi-judicial body that reports to Parliament through the Minister of Finance. It hears cases on dumped and subsidized imports, safeguard complaints, complaints about federal government procurement and appeals of customs and excise tax rulings. When requested by the federal government, the Tribunal also provides advice on other economic, trade and tariff matters."
190625,Tribunal Initiates Final Injury Inquiry—Polyethylene terephthalate from China and Pakistan,"News release
Ottawa, Ontario, June 18, 2025—The Canadian International Trade Tribunal today initiated an inquiry to determine whether the dumping of polyethylene terephthalate from China and Pakistan and the subsidizing of the above-mentioned goods from China have caused injury or retardation or are threatening to cause injury. This final injury inquiry was initiated further to a notice received from the Canada Border Services Agency stating that preliminary determinations had been made respecting the dumping and subsidizing of the above-mentioned goods.

On October 15, 2025, the Tribunal will determine whether the dumping and subsidizing have caused injury or retardation or are threatening to cause injury to the domestic industry.

The Tribunal is an independent quasi-judicial body that reports to Parliament through the Minister of Finance. It hears cases on dumped and subsidized imports, safeguard complaints, complaints about federal government procurement and appeals of customs and excise tax rulings. When requested by the federal government, the Tribunal also provides advice on other economic, trade and tariff matters.

Any interested person, association or government that wishes to participate in the Tribunal’s inquiry may do so by filing Form I—Notice of Participation.

"
