Month,Relation,Sentiment
2024-01,China-Canada,0.0036733414845730775
2024-01,USA-Canada,0.008040871846176868
2024-01,USA-China,0.01810163015474929
2024-02,China-Canada,0.005115454209812049
2024-02,USA-Canada,0.005889018171841771
2024-02,USA-China,0.02217680954244542
2024-03,China-Canada,0.001830939195375231
2024-03,USA-Canada,0.01621930616203181
2024-03,USA-China,0.02282387873948695
2024-04,China-Canada,0.0034395184718157253
2024-04,USA-Canada,0.010289456656670375
2024-04,USA-China,0.013694334105164026
2024-05,China-Canada,0.008569272835345667
2024-05,USA-Canada,0.010092954461571572
2024-05,USA-China,0.013158379772736874
2024-06,China-Canada,0.005291532890088246
2024-06,USA-Canada,0.0015626140927345765
2024-06,USA-China,0.0072065552686839665
2024-07,China-Canada,0.005790330864820189
2024-07,USA-Canada,0.006272111773505185
2024-07,USA-China,0.016490032640620177
2024-08,China-Canada,0.0019227827737227467
2024-08,USA-Canada,0.0163444512949204
2024-08,USA-China,0.009777259965975399
2024-09,China-Canada,0.0018432779297186958
2024-09,USA-Canada,0.005338750357303037
2024-09,USA-China,0.018726523430719507
2024-10,China-Canada,0.004873949579831927
2024-10,USA-Canada,0.004191505329665587
2024-10,USA-China,0.010123324359606193
2024-11,China-Canada,0.01006508837898655
2024-11,USA-Canada,0.012531256821883958
2024-11,USA-China,0.01968168591553213
2024-12,China-Canada,0.010420548515290094
2024-12,USA-Canada,-0.0002868334621302852
2024-12,USA-China,0.016514725760928876
2025-01,China-Canada,0.021928571428571488
2025-01,USA-Canada,0.006962875594654749
2025-01,USA-China,0.01428805700936197
2025-02,China-Canada,-0.0008349025863036763
2025-02,USA-Canada,0.009816992595195723
2025-02,USA-China,0.012910304302081076
2025-03,China-Canada,0.0012906846581136236
2025-03,USA-Canada,0.007618744458383421
2025-03,USA-China,0.010100876378297353
2025-04,China-Canada,0.0012988570228843997
2025-04,USA-Canada,0.00478169146389218
2025-04,USA-China,0.0025193799305984095
2025-05,China-Canada,0.007395638526856866
2025-05,USA-Canada,0.007975858536407065
2025-05,USA-China,0.010292331381580946
2025-06,China-Canada,0.005485541986537384
2025-06,USA-Canada,0.009381962480272133
2025-06,USA-China,0.016454103406933877
2025-07,China-Canada,0.006280399023469467
2025-07,USA-Canada,0.01452024468684891
2025-07,USA-China,0.0198763761971501
