Month,Relation,Sentiment,EXCHUS,US_tariff_rate,China_tariff_rate,US_exports_millions,China_exports_millions,Trade_balance,Log_EXCHUS_Change,Sentiment_Change,Log_EXCHUS_Change_Lag,US_log_tariff_rate_change_lag,China_log_tariff_rate_change_lag,Trade_balance_change_lag,Log_trade_balance_change_lag,US_log_exports_change_lag,China_log_exports_change_lag,US_log_exports_change,China_log_exports_change,Sentiment_change_lag
2021-01,USA-China,0.023501,6.4672,19.3,21.1,13011.20,38835.30,-25824.10,,,-0.001098451,0,0,1272.40,7.15,-0.339555872024611,-0.138371906407196,,,-0.003344
2021-02,USA-China,0.020157,6.4601,19.3,21.1,9265.10,33816.80,-24551.70,-0.001098451,-0.003344,0.007832898,0,0,-2570.30,-7.85,0.324127578759688,0.166270370939785,-0.339555872024611,-0.138371906407196,-0.009433
2021-03,USA-China,0.010724,6.5109,19.3,21.1,12812.00,39934.00,-27122.00,0.007832898,-0.009433,0.001181933,0,0,1682.30,7.43,-0.071208651306780,-0.066330412924554,0.324127578759688,0.166270370939785,0.003487
2021-04,USA-China,0.014211,6.5186,19.3,21.1,11931.40,37371.10,-25439.70,0.001181933,0.003487,-0.01335855,0,0,-639.40,-6.46,0.039119488365502,0.029409852011080,-0.071208651306780,-0.066330412924554,-0.005097
2021-05,USA-China,0.009114,6.4321,19.3,21.1,12407.40,38486.50,-26079.10,-0.01335855,-0.005097,-0.001104448,0,0,-1557.60,-7.35,-0.021573138065444,0.033039146037467,0.039119488365502,0.029409852011080,-0.000217
2021-06,USA-China,0.008897,6.425,19.3,21.1,12142.60,39779.30,-27636.70,-0.001104448,-0.000217,0.007952729,0,0,-896.90,-6.80,-0.032245606466686,0.012778960514211,-0.021573138065444,0.033039146037467,0.004191
2021-07,USA-China,0.013088,6.4763,19.3,21.1,11757.30,40290.90,-28533.60,0.007952729,0.004191,7.72016E-05,0,0,-3119.00,-8.05,-0.044532953337864,0.062694905564811,-0.032245606466686,0.012778960514211,-0.005552
2021-08,USA-China,0.007536,6.4768,19.3,21.1,11245.20,42897.80,-31652.60,7.72016E-05,-0.005552,-0.003170163,0,0,-4678.70,-8.45,-0.020265865510300,0.098765284275492,-0.044532953337864,0.062694905564811,0.011614
2021-09,USA-China,0.01915,6.4563,19.3,21.1,11019.60,47350.90,-36331.30,-0.003170163,0.011614,-0.006074513,0,0,5109.30,8.54,0.412824797033334,0.010976288574064,-0.020265865510300,0.098765284275492,-0.011057
2021-10,USA-China,0.008093,6.4172,19.3,21.1,16651.50,47873.50,-31222.00,-0.006074513,-0.011057,-0.004419776,0,0,-1129.00,-7.03,-0.047200580555771,0.007518636829898,0.412824797033334,0.010976288574064,0.009138
2021-11,USA-China,0.017231,6.3889,19.3,21.1,15883.80,48234.80,-32351.00,-0.004419776,0.009138,-0.003072536,0,0,-3711.90,-8.22,-0.176603790198563,0.023369546905020,-0.047200580555771,0.007518636829898,-0.013361
2021-12,USA-China,0.00387,6.3693,19.3,21.1,13312.40,49375.30,-36062.90,-0.003072536,-0.013361,-0.002153259,0,0,-202.50,-5.31,-0.154933464614574,-0.035208866692628,-0.176603790198563,0.023369546905020,0.010161
2022-01,USA-China,0.014031,6.3556,19.3,21.1,11401.70,47667.10,-36265.40,-0.002153259,0.010161,-0.001889883,0,0,5580.20,8.63,0.018336859722115,-0.119503993029777,-0.154933464614574,-0.035208866692628,0.015097
2022-02,USA-China,0.029128,6.3436,19.3,21.1,11612.70,42297.90,-30685.20,-0.001889883,0.015097,0.000157627,0,0,-2981.30,-8.00,0.159351864301074,0.111462025524276,0.018336859722115,-0.119503993029777,-0.015897
2022-03,USA-China,0.013231,6.3446,19.3,21.1,13618.80,47285.30,-33666.50,0.000157627,-0.015897,0.01352599,0,0,3281.30,8.10,-0.182929724772826,-0.125043874097333,0.159351864301074,0.111462025524276,-0.008039
2022-04,USA-China,0.005192,6.431,19.3,21.1,11342.10,41727.30,-30385.20,0.01352599,-0.008039,0.040828214,0,0,-1083.20,-6.99,0.081175352255089,0.047783921624854,-0.182929724772826,-0.125043874097333,0.004614
2022-05,USA-China,0.009806,6.699,19.3,21.1,12301.20,43769.60,-31468.40,0.040828214,0.004614,-0.00056741,0,0,-5440.80,-8.60,-0.060512342326758,0.102378894531219,0.081175352255089,0.047783921624854,-0.003788
2022-06,USA-China,0.006018,6.6952,19.3,21.1,11578.90,48488.10,-36909.20,-0.00056741,-0.003788,0.005956653,0,0,2752.70,7.92,0.069197245376740,-0.040469221039183,-0.060512342326758,0.102378894531219,0.003344
2022-07,USA-China,0.009362,6.7352,19.3,21.1,12408.50,46565.00,-34156.50,0.005956653,0.003344,0.009678043,0,0,-3380.00,-8.13,0.034697463245848,0.078806615411915,0.069197245376740,-0.040469221039183,-0.0094112
2022-08,USA-China,-4.92E-05,6.8007,19.3,21.1,12846.60,50383.10,-37536.50,0.009678043,-0.0094112,0.031666442,0,0,81.30,4.40,-0.083700810470816,-0.022334335950292,0.034697463245848,0.078806615411915,0.0181282
2022-09,USA-China,0.018079,7.0195,19.3,21.1,11815.10,49270.30,-37455.20,0.031666442,0.0181282,0.024026997,0,0,8470.90,9.04,0.283409345522047,-0.098005898327978,-0.083700810470816,-0.022334335950292,-0.01593
2022-10,USA-China,0.002149,7.1902,19.3,21.1,15686.30,44670.60,-28984.30,0.024026997,-0.01593,-0.001252488,0,0,7866.20,8.97,0.007070309818682,-0.190678632294546,0.283409345522047,-0.098005898327978,0.013722
2022-11,USA-China,0.015871,7.1812,19.3,21.1,15797.60,36915.70,-21118.10,-0.001252488,0.013722,-0.029607403,0,0,-2532.80,-7.84,-0.151414558763541,0.008445720481530,0.007070309818682,-0.190678632294546,0.001711
2022-12,USA-China,0.017582,6.9717,19.3,21.1,13577.90,37228.80,-23650.90,-0.029607403,0.001711,-0.026349247,0,0,-1535.30,-7.34,-0.045041463911401,0.024865031760141,-0.151414558763541,0.008445720481530,-0.002955
2023-01,USA-China,0.014627,6.7904,19.3,21.1,12979.90,38166.10,-25186.20,-0.026349247,-0.002955,0.006985441,0,0,6398.60,8.76,-0.096812089083917,-0.221935093534842,-0.045041463911401,0.024865031760141,-0.009189
2023-02,USA-China,0.005438,6.838,19.3,21.1,11782.20,30569.80,-18787.60,0.006985441,-0.009189,0.007706409,0,0,1865.10,7.53,0.163073425971286,0.007229331990406,-0.096812089083917,-0.221935093534842,-0.006488
2023-03,USA-China,-0.00105,6.8909,19.3,21.1,13869.10,30791.60,-16922.50,0.007706409,-0.006488,-0.000479007,0,0,-3082.80,-8.03,-0.059642254132411,0.071426935029761,0.163073425971286,0.007229331990406,-0.00801
2023-04,USA-China,-0.00906,6.8876,19.3,21.1,13066.10,33071.40,-20005.30,-0.000479007,-0.00801,0.014099563,0,0,-5170.50,-8.55,-0.199291485115376,0.081539046942543,-0.059642254132411,0.071426935029761,0.039079
2023-05,USA-China,0.030019,6.9854,19.3,21.1,10705.20,35881.00,-25175.80,0.014099563,0.039079,0.024883236,0,0,941.20,6.85,-0.060354929456727,-0.044689445081332,-0.199291485115376,0.081539046942543,-0.013553
2023-06,USA-China,0.016466,7.1614,19.3,21.1,10078.20,34312.80,-24234.60,0.024883236,-0.013553,0.003470943,0,0,-1074.30,-6.98,0.069097382043605,0.050998754500515,-0.060354929456727,-0.044689445081332,0.012566
2023-07,USA-China,0.029032,7.1863,19.3,21.1,10799.20,36108.10,-25308.90,0.003470943,0.012566,0.008631911,0,0,-736.60,-6.60,-0.001501237412544,0.019754785058474,0.069097382043605,0.050998754500515,-0.02024
2023-08,USA-China,0.008792,7.2486,19.3,21.1,10783.00,36828.50,-26045.50,0.008631911,-0.02024,0.006778289,0,0,-2422.20,-7.79,0.088449336108074,0.088785826630506,-0.001501237412544,0.019754785058474,0.013779
