Date,Title,Content,Source
010725,Canada Day,"On behalf of the United States of America, I congratulate the Canadian people as they celebrate the 158th anniversary of their confederation.

Throughout our history we have accomplished much in our pursuits of shared prosperity and mutual security.

As we look to the future, may the people of Canada and the United States remain firm in our shared commitments.

I wish our Canadian neighbors a happy Canada Day.",USA
010725,Joint Statement of the G7 Foreign Ministers on Iran and the Middle East,"The text of the following statement was released by the G7 Foreign Ministers of Canada, France, Germany, Italy, Japan, the United Kingdom and the United States of America and the High Representative of the European Union.

Begin Text:

We the G7 Foreign Ministers of Canada, France, Germany, Italy, Japan, the United Kingdom and the United States of America, and the High Representative of the European Union, met in The Hague on June 25, 2025, where we discussed recent events in the Middle East.

We reiterate our support for the ceasefire between Israel and Iran announced by U.S. President Trump, and urge all parties to avoid actions that could further destabilize the region.

We appreciate Qatar’s important role in facilitating the ceasefire and express our full solidarity to Qatar and Iraq following the recent strikes by Iran and its proxies and partners against their territory. We welcome all efforts in the region towards stabilization and de-escalation.

We reaffirm that the Islamic Republic of Iran can never have nuclear weapons, and urge Iran to refrain from reconstituting its unjustified enrichment activities. We call for the resumption of negotiations, resulting in a comprehensive, verifiable and durable agreement that addresses Iran’s nuclear program.

In order to have a sustainable and credible resolution, we call on Iran to urgently resume full cooperation with the International Atomic Energy Agency (IAEA) as required by its safeguards obligations and to provide the IAEA with verifiable information about all nuclear material in Iran, including by providing access to IAEA inspectors. We condemn calls in Iran for the arrest and execution of IAEA Director General Grossi.

We underscore the centrality of the Nuclear Non-Proliferation Treaty (NPT) as the cornerstone of the global nuclear non-proliferation regime. It is essential that Iran remains party to and fully implements its obligations under the Treaty.

We reiterate our commitment to peace and stability in the Middle East. In this context, we reaffirm that Israel has a right to defend itself. We reiterate our support for the security of Israel.

End Text.",USA
150625,Secretary Rubio’s Call with Canadian Minister of Foreign Affairs Anand,"The below is attributable to Spokesperson Tammy Bruce:

Secretary of State Marco Rubio spoke today with Canadian Minister of Foreign Affairs Anita Anand in anticipation of the G7 Leaders’ Summit in Kananaskis, Alberta.  Secretary Rubio highlighted opportunities for collaboration on a broad range of global challenges.  He and Foreign Minister Anand reaffirmed the important relationship between the United States and Canada.  ",USA
100625,"United States Condemns UK, Canada, Norway, New Zealand, Australia Sanctions on Israeli Government Officials","The United States condemns the sanctions imposed by the governments of United Kingdom, Canada, Norway, New Zealand, and Australia on two sitting members of the Israeli cabinet. These sanctions do not advance U.S.-led efforts to achieve a ceasefire, bring all hostages home, and end the war. We reject any notion of equivalence: Hamas is a terrorist organization that committed unspeakable atrocities, continues to hold innocent civilians hostage, and prevents the people of Gaza from living in peace. We remind our partners not to forget who the real enemy is. The United States urges the reversal of the sanctions and stands shoulder-to-shoulder with Israel.",USA
310525,"United States Secures the Extraditions of Individuals Accused of Violent and Other Serious Crimes from Canada, Colombia, Costa Rica, the Dominican Republic, Georgia, Guatemala, Germany, Guinea-Bissau, Honduras, Israel, Kenya, Kosovo, Malaysia, Mauritius,","United States Also Returned International Fugitives Wanted for Terrorism, Murder, Attempted Murder and Child Sexual Abuse to Canada, India, and Mexico
Extensive coordination between the Justice Department and law enforcement authorities in Canada, Colombia, Costa Rica, the Dominican Republic, Georgia, Guatemala, Germany, Guinea-Bissau, Honduras, Israel, Kenya, Kosovo, Malaysia, Mauritius, Mexico, Moldova, Panama, Peru, Spain, Thailand, Türkiye, Ukraine and the United Kingdom (UK) resulted in the extraditions in April and May of dozens of individuals. The defendants returned to the United States are alleged to have committed crimes — including child sexual abuse and rape, murder, hate crimes, assault, narcoterrorism, drug trafficking, alien smuggling, cybercrime, money laundering, fraud, aggravated robbery and extortion — in a number of U.S. states and federal districts, including Arizona, California, Colorado, Connecticut, Florida, Georgia, Idaho, Illinois, Indiana, Kentucky, Louisiana, Maryland, Michigan, Minnesota, New Hampshire, Nevada, New Jersey, New York, Ohio, Pennsylvania, Puerto Rico, South Carolina, Texas, Utah, Virginia, Washington and the District of Columbia.

The fugitives extradited to the United States include:

Michail Chkhikvishvili, also known as Mishka, Michael, Commander Butcher, and Butcher, 21, a Georgian national and alleged leader of a white supremacist group, was extradited from Moldova to face charges in the Eastern District of New York for soliciting hate crimes and planning a mass casualty attack in New York City. As the alleged leader of the white supremacist group “Maniac Murder Cult,” an international, racially motivated violent extremist group that adheres to a neo-Nazi ideology and promotes violence against racial minorities, the Jewish community, and other groups that it deems “undesirables,” Chkhikvishvili allegedly traveled to Brooklyn in 2022 and actively solicited acts of mass violence with a person who was, unbeknownst to Chkhikvishvili, an undercover FBI employee. In November 2023, Chkhikvishvili allegedly began planning a mass casualty attack to take place on New Year’s Eve, which would involve an individual dressing up as Santa Claus and handing out candy laced with poison to racial minorities. In January 2024, as alleged, the scheme evolved and Chkhikvishvili specifically directed the undercover FBI employee to target the Jewish community, Jewish schools, and Jewish children in Brooklyn.

Liridon Masurica, also known as @blackdb, 33, a national of Kosovo and alleged administrator of an online criminal marketplace, was extradited from Kosovo to face charges of conspiracy to commit access device fraud and fraudulent use of 15 or more unauthorized access devices in the Middle District of Florida.

Adrian Alberto Cano Gomez, also known as Andrea, 45, a national of Colombia and an alleged member of the Ejército de Liberación Nacional (ELN), a designated foreign terrorist organization, was extradited from Colombia to face charges in the Southern District of Texas of narco-terrorism and distributing kilogram quantities of cocaine from Colombia.

Aler Baldomero Samayoa-Recinos, also known as Chicharra, 58, a national of Guatemala and alleged leader of a prolific Guatemalan drug trafficking organization, was extradited from Guatemala to face charges in the District of Columbia of conspiracy to distribute five kilograms of cocaine for importation to the United States.

Daniel Flores, 49, a national of Mexico, was extradited from Mexico to face charges of first-degree murder for the 1995 killing of two brothers, both U.S. Marines, ages 22 and 19, in Cook County, Illinois.

Manuel Alejandro Vasquez, 47, a citizen of Mexico, was extradited from Mexico to face a charge of murder in Ventura County, California. Vasquez’s two co-defendants were convicted in 1999 and sentenced to life without the possibility of parole for the 1998 murder of a man in his home over an alleged unpaid debt. Vasquez fled to Mexico before charges could be filed against him.

Tyler Buchanan, 23, a UK national, was extradited from Spain to face charges of conspiracy to commit computer intrusion, wire fraud, and aggravated identity theft in the Central District of California. Among other crimes, Buchanan and his co-conspirators allegedly stole cryptocurrency worth millions of dollars following phishing attacks on over 45 companies based in the United States, Canada, and the UK.

Felix Manuel Mejia-Gonzalez, 33, a Dominican citizen, was extradited from the Dominican Republic to face charges of fentanyl trafficking in the District of New Hampshire.

Samuel Steven Huggler, 28, a U.S. citizen, was extradited from Spain, to face charges relating to the alleged murder and attempted murders of three of his siblings in Vanderburgh County, Indiana. Huggler is charged with aiding, inducing, or causing murder, three counts of conspiracy to commit murder, two counts of aiding, inducing, or causing attempted murder, and possession of an altered firearm. 

Michel Patrick Desalles, 54, a Mauritian national, was extradited from Mauritius to face a charge of murder in the second degree in the State of New York. Desalles allegedly choked his employer to death with zip ties and immediately fled the United States in 2017.

Juan Miguel Roman-Balderas, 45, a citizen of Mexico, was extradited from Mexico to face two charges of murder in Prince George’s County, Maryland. Roman-Balderas is alleged to have stabbed to death his 28-year-old ex-girlfriend in April 2014 in Greenbelt, Maryland.

Rody L. Wilcox, 50, a U.S. citizen, was extradited from Georgia to face charges of lewd conduct with a minor under 16 years of age filed in Latah County, Idaho. Wilcox allegedly sexually assaulted a six-year-old child on multiple occasions in 2023. In 2024, Wilcox fled Idaho while on bond. Through OIA’s cooperation with the FBI, U.S. Department of State Diplomatic Security Service and Georgian authorities, Wilcox was arrested in Georgia on Aug. 16, 2024, while en route to the Russian Federation.

Miguel Angel Urbano-Vazquez, 48, a citizen of Mexico, was extradited from Mexico to face charges of aggravated first-degree murder and rape in Pierce County, Washington. Urbano-Vazquez is alleged to have raped four victims between March and October 2002, one of whom he is also alleged to have murdered in the course of rape.

Gilberto Gutierrez, 46, a citizen of El Salvador, was extradited from El Salvador to face charges of rape, child abuse, and related sex offenses in Wicomico County, Maryland. Gutierrez allegedly repeatedly sexually abused two girls under the age of 10 years old between approximately 1999 and 2004.

Ramon Manriquez Castillo, 68, a dual U.S. and Mexican citizen; Edgar Rodriguez Ruano, 29, a Mexican citizen; Fernando Javier Escobar Tito, 48, an Ecuadorian citizen; and Anderson Jair Gamboa Nieto, 30, a Colombian citizen, were surrendered by Guinea-Bissau to face drug trafficking charges in the Southern District of Florida. The co-defendants are alleged members of a transnational drug trafficking organization comprised of several cartels in Mexico, Colombia, and Venezuela, and they allegedly conspired to distribute large quantities of cocaine through Colombia, Venezuela, Mexico, the Bahamas, and Guinea-Bissau using a U.S.-registered airplane, with a U.S. citizen onboard, from about November 2023 to September 2024. They are also charged with distributing cocaine in these countries using an airplane with a U.S. citizen onboard.

Artem Aleksandrovych Stryzhak, 35, a Ukrainian national, was extradited from Spain to face charges of conspiracy to commit fraud, extortion, and related activity in connection with computers in the Eastern District of New York. According to the charges in the Eastern District of New York, Stryzhak is one of the administrators of the Nefilim ransomware gang.

The fugitives extradited by the United States include:

Tahawwur Hussain Rana, 64, a Canadian citizen, native of Pakistan, and convicted terrorist, was extradited to India to stand trial on 10 criminal charges stemming from his alleged role in the 2008 terrorist attacks in Mumbai that killed 160 people, including six Americans, and wounded hundreds more.

Aaron Seth Juarez, 26, a U.S. citizen, was extradited to Mexico to be prosecuted for femicide for the 2019 killing of his approximately 31-year-old stepmother, whose body he allegedly buried in the backyard of her Tijuana home. 

The Justice Department’s Office of International Affairs (OIA), along with the U.S. Marshals Service, provided significant assistance in securing the defendants’ arrests and extraditions. The U.S. Attorney’s Offices for the Central District of California and the Eastern District of California litigated with OIA the successful outgoing extradition cases for Rana and Juarez, respectively. OIA and the Criminal Division’s Narcotic and Dangerous Drug Section’s Office of Judicial Attaché in Bogotá, Colombia provided significant assistance in securing the arrests and extraditions from Colombia. The Criminal Division’s Office of Overseas Prosecutorial Development, Assistance and Training (OPDAT) also provided assistance with the extraditions from Guatemala and Kosovo. The Justice Department thanks and acknowledges the instrumental role of its law enforcement partners in Canada, Colombia, Costa Rica, the Dominican Republic, Georgia, Guatemala, Germany, Guinea-Bissau, Honduras, Israel, Kenya, Kosovo, Malaysia, Mauritius, Mexico, Moldova, Panama, Peru, Spain, Thailand, Türkiye, Ukraine and the United Kingdom for making these extraditions possible.

An indictment and criminal complaint are merely allegations. All defendants are presumed innocent until proven guilty beyond a reasonable doubt in a court of law.",USA
270525,"Department Press Briefing – May 27, 2025","QUESTION: King Charles has been in – speaking to the Canadian parliament in the last few hours, saying that Canada faces another critical moment, and is determined to protect democracy, self-determination, freedom. “The true north is indeed strong and free.” And that’s being seen by many as a clear endorsement of Canada’s sovereignty, a rejection of the idea of it being the 51st state. Do you endorse his sentiments?

MS BRUCE: I’m a fan of Prince Charles – King Charles and of Prince William and Princess Kate. I think they’re a great family. That’s it.

QUESTION: And on their – on Canada’s sovereignty?

MS BRUCE: Yes, Shaun. Go ahead. (Laughter.)

QUESTION: If we could come back to Gaza as – specifically because tomorrow the – Germany’s foreign minister is going to be here and meeting with the Secretary. As Germany’s government has kind of shifted quite a lot in the last few days on their position of support for Israel, they’ve been, alongside the U.S., one of the main backers of Israel in this war. And now they’re saying – the chancellor is saying that the war in Gaza is no longer justified by the need to fight Hamas. So, it seems like that whatever coalition was left of countries, including U.S., backing Israel seems to be getting smaller. Are you concerned that there’s even less international support for Israel? Does that influence the way that the U.S. is thinking about this, that one of the main European countries backing Israel is – has been backing down?

MS BRUCE: Well, again, Chancellor Merz noting that Israel’s actions can no longer be justified. The fact of the matter is, is that Hamas has put the people in Gaza in this situation by launching that attack on October 7th and by continuing to hold hostages, including the bodies of four Americans, and continue, of course, to maintain their weapons. So, when we think about actions that can no longer be justified, I think we should adjust ourselves and look at what put us in this position in the first place.

Regarding the UK, Canada, France, and any number of others that took disappointing steps last week – unilateral recognition of a Palestinian state, in this case – is unproductive and obstructs ongoing U.S. efforts towards peace in the region. And I think that there is a clear line that has been drawn by President Trump, which, again, definitely disturbs the status quo, which is that there has to be peace – not just for six months, not because there’s been a deal made for a year, that this has to be enduring. The entire framework has to change.

He’s not kidding. He’s not kidding because otherwise, in five years or sooner, someone will be in your position, someone else will definitely be in my position, having the same conversation. We can’t allow that to continue. That is President Trump’s understanding and vision of the change that needs to occur. And the fact is, is that the status quo does seem to be perhaps the easier thing to maintain, but it’s not the one that’s going to save lives.

All right, yes. There. Right there. Go ahead. Speak up. Yeah.",USA
230525,Secretary Rubio’s Call with Canadian Minister of Foreign Affairs Anand,"The below is attributable to Spokesperson Tammy Bruce:

Secretary of State Marco Rubio spoke today with Canadian Minister of Foreign Affairs Anita Anand to congratulate her on her recent appointment. Secretary Rubio and Foreign Minister Anand discussed opportunities for collaboration on shared global challenges. Secretary Rubio also emphasized the importance of the U.S.-Canada relationship and reiterated that both countries must work together to ensure balanced trade, counter the flow of fentanyl, and enhance security, including in the Artic.",USA
060525,"Department Press Briefing – May 6, 2025","Secretary Rubio also joined President Trump in the Oval Office today for a meeting with the Canadian prime minister.

During the meeting, Prime Minister Carney described the intention – his intention – to increase Canada’s defense spending, meeting President Trump’s – exceeding President Trump’s leadership there on the demand of what he was looking for.",USA
290425,"Department Press Briefing – April 29, 2025","QUESTION: Thanks, Tammy. I wanted to move on to a country which is a neighbor, in fact – Canada. Unless I’m mistaken, I haven’t seen any reaction – official reaction by the White House or the State Department or officials on the election —

MS BRUCE: Oh, I have one. I have a reaction, yes.

QUESTION: — victory last night of Mark Carney as the prime minister.

MS BRUCE: Yes. Yes, indeed.

QUESTION: And he pledged today that a united Canada would confront the President. Your thoughts?

MS BRUCE: Well, here’s what we can say about Canada. The United States extends its congratulations to Prime Minister Mark Carney and his party on their win in Canada’s recent federal elections. The U.S.-Canada relationship remains one of the most extensive in the world. We look forward to working with Prime Minister Carney’s government, particularly on key issues such as trade fairness, combatting illegal immigration, halting the flow of fentanyl and other dangerous drugs, and countering the Chinese Communist Party influence in our hemisphere.

All right. Yeah, Daphne.",USA
270425,Secretary of State Marco Rubio With Kristen Welker of NBC Meet the Press,"QUESTION:  Mr. Secretary, very quickly because we’re out of time already, but Canadians, as you know, head to the polls tomorrow for their parliamentary elections.  Have you taken any steps to carry out President Trump’s plans?  He says he wants to annex Canada. 

SECRETARY RUBIO:  Any what?  I’m sorry.

QUESTION:  Any plans to carry out —

SECRETARY RUBIO:  I missed the last part of your question. 

QUESTION:  Absolutely.  I’ll repeat it.  Have you taken any steps to carry out President Trump’s plans, as he has said he would like to annex Canada?  Have you taken any steps in that direction?

SECRETARY RUBIO:  No, I think what the – no, no, what the President has said, and he has said this repeatedly, is he was told by the previous prime minister that Canada could not survive without unfair trade with the United States, at which point he asked, well, if you can’t survive as a nation without treating us unfairly in trade, then you should become a state.  That’s what he said. 

They’ll have their elections this week.  They’re going to have a new leader and we’ll deal with the new leadership of Canada.  There are many things we work with cooperatively on Canada on, but we actually don’t like the way they treated us when it comes to trade.  And the President has made that point when he responded to the previous prime minister in regards to this.

QUESTION:  So does the President – does the U.S. – still want to make Canada the 51st state?

SECRETARY RUBIO:  I think the President has stated repeatedly he thinks Canada would be better off as a state.  I mean, and he has said that based on what he was told by the previous prime minister, who said Canada can’t survive unless it treats the U.S. unfairly in trade. 

QUESTION:  All right, okay.  Secretary of State Marco Rubio, thank you so much.  We covered a lot of ground today.  Really appreciate your joining us.

SECRETARY RUBIO:  Thank you.",USA
