Month,Relation,Sentiment
2021-01,USA-China,0.023501026895146306
2021-02,USA-China,0.02015709190343661
2021-03,USA-China,0.01072411390942202
2021-04,USA-China,0.014211058622095997
2021-05,USA-China,0.009113971326603704
2021-06,USA-China,0.00889732722661106
2021-07,USA-China,0.013087567119531839
2021-08,USA-China,0.007535582799138483
2021-09,USA-China,0.01914995541420298
2021-10,USA-China,0.008092711054574169
2021-11,USA-China,0.017230774622764258
2021-12,USA-China,0.0038701293244079904
2022-01,USA-China,0.014031147971970833
2022-02,USA-China,0.02912786874462999
2022-03,USA-China,0.013230860991302886
2022-04,USA-China,0.005192025984303877
2022-05,USA-China,0.009806058472054171
2022-06,USA-China,0.006018497976349955
2022-07,USA-China,0.00936190473503035
2022-08,USA-China,-4.922556759048431e-05
2022-09,USA-China,0.018078840543045913
2022-10,USA-China,0.0021491922711434877
2022-11,USA-China,0.015871041701079308
2022-12,USA-China,0.017581971759253565
2023-01,USA-China,0.01462651907327681
2023-02,USA-China,0.005438229854972088
2023-03,USA-China,-0.0010497950852663477
2023-04,USA-China,-0.009064395708780626
2023-05,USA-China,0.030018852766084483
2023-06,USA-China,0.01646617577485119
2023-07,USA-China,0.02903154619198409
2023-08,USA-China,0.0087919261502379
2023-09,USA-China,0.02257100479025251
2023-10,USA-China,0.022049597336316364
2023-11,USA-China,0.014871623669770375
2023-12,USA-China,0.01460887485634169
2024-01,USA-China,0.01810163015474929
2024-02,USA-China,0.02217680954244542
2024-03,USA-China,0.02282387873948695
2024-04,USA-China,0.013694334105164026
2024-05,USA-China,0.013158379772736874
2024-06,USA-China,0.0072065552686839665
2024-07,USA-China,0.016490032640620177
2024-08,USA-China,0.009777259965975399
2024-09,USA-China,0.018726523430719507
2024-10,USA-China,0.010123324359606193
2024-11,USA-China,0.01968168591553213
2024-12,USA-China,0.016514725760928876
2025-01,USA-China,0.01428805700936197
2025-02,USA-China,0.012910304302081076
2025-03,USA-China,0.010100876378297353
2025-04,USA-China,0.0025193799305984095
2025-05,USA-China,0.010292331381580946
2025-06,USA-China,0.016454103406933877
2025-07,USA-China,0.0198763761971501
